signal_id,signal_time,ticker,contract_type,strike,expiry_date,dte_label,confluence_score,stock_at_signal,premium_at_signal,entry_trigger,stock_target,stop_level,entered_on_trigger,premium_at_trigger,stock_at_trigger,hit_target,hit_stop,premium_at_exit_ts,premium_at_close,stock_at_close,pnl_signal_hold,pnl_signal_exit,pnl_trigger_hold,pnl_trigger_exit,status,last_update
TSLA_2026-07-24T11:24:01-04:00,2026-07-24T11:24:01-04:00,TSLA,PUT,310.0,2026-07-27,1DTE,78,309.0,4.8,309.0,302.0,,yes,4.5,308.04,no,no,,4.35,,-9.4,,-3.3,,DONE,2026-07-24T16:05:39-04:00
META_2026-07-24T12:28:17-04:00,2026-07-24T12:28:17-04:00,META,PUT,602.5,2026-07-27,1DTE,72,604.0,5.22,604.0,597.5,,yes,5.75,603.88,no,no,,9.22,,76.6,,60.3,,DONE,2026-07-24T16:05:39-04:00
MSFT_2026-07-24T12:29:05-04:00,2026-07-24T12:29:05-04:00,MSFT,CALL,385.0,2026-07-27,1DTE,58,385.5,3.01,385.5,387.5,,no,,,no,no,,2.13,,-29.2,,,,DONE,2026-07-24T16:05:39-04:00
NVDA_2026-07-24T12:29:47-04:00,2026-07-24T12:29:47-04:00,NVDA,CALL,212.5,2026-07-27,1DTE,68,211.5,1.32,211.5,212.5,,no,,,no,no,,0.28,,-78.8,,,,DONE,2026-07-24T16:05:39-04:00
AMZN_2026-07-24T13:41:31-04:00,2026-07-24T13:41:31-04:00,AMZN,PUT,232.5,2026-07-27,1DTE,72,232.33,1.62,232.33,230.8,,no,,,no,no,,2.26,,39.5,,,,DONE,2026-07-24T16:05:39-04:00
NVDA_2026-07-27T10:34:11-04:00,2026-07-27T10:34:11-04:00,NVDA,PUT,197.5,2026-07-29,1DTE,62,197.5,1.85,197.5,195.5,,yes,3.52,196.86,no,no,,3.27,,76.8,,-7.1,,DONE,2026-07-27T16:05:42-04:00
QQQ_2026-07-27T10:35:11-04:00,2026-07-27T10:35:11-04:00,QQQ,PUT,678.0,2026-07-28,1DTE,78,678.0,2.54,678.0,671.5,,yes,3.52,677.15,no,no,,2.49,,-2.0,,-29.3,,DONE,2026-07-27T16:05:42-04:00
SPY_2026-07-27T10:36:04-04:00,2026-07-27T10:36:04-04:00,SPY,PUT,737.0,2026-07-28,1DTE,72,737.86,1.46,737.86,733.6,,yes,1.79,737.5,no,no,,1.65,,13.0,,-7.8,,DONE,2026-07-27T16:05:42-04:00
TSLA_2026-07-27T10:36:54-04:00,2026-07-27T10:36:54-04:00,TSLA,PUT,305.0,2026-07-29,1DTE,72,307.0,3.85,307.0,300.5,,yes,3.85,306.64,no,no,,3.35,,-13.0,,-13.0,,DONE,2026-07-27T16:05:42-04:00
META_2026-07-27T10:41:36-04:00,2026-07-27T10:41:36-04:00,META,PUT,600.0,2026-07-31,1DTE,62,599.8,20.75,599.8,593.5,,yes,23.98,599.21,no,no,,27.95,,34.7,,16.6,,DONE,2026-07-27T16:05:42-04:00
